symbol,action,date,price,shares,pnl_pct,reason,entry_date,entry_price
600520,SELL,20241029,51.88,300,-1.3688212927756631,TRAILING_STOP,20241028,52.6
002583,SELL,20241101,25.38,1300,111.5,TRAILING_STOP,20241021,12.0
000158,SELL,20241101,33.34,600,19.928057553956844,TRAILING_STOP,20241028,27.8
002628,SELL,20241101,7.08,3200,33.33333333333334,TRAILING_STOP,20241028,5.31
300489,BUY,20241104,80.05,200,0.0,REBALANCE,20241104,80.05
002272,BUY,20241104,13.33,1400,0.0,REBALANCE,20241104,13.33
600839,BUY,20241104,13.38,1400,0.0,REBALANCE,20241104,13.38
600292,BUY,20241104,12.6,1500,0.0,REBALANCE,20241104,12.6
603038,BUY,20241104,26.46,700,0.0,REBALANCE,20241104,26.46
002693,BUY,20241104,30.28,600,0.0,REBALANCE,20241104,30.28
002583,BUY,20241104,22.84,800,0.0,REBALANCE,20241104,22.84
603887,BUY,20241104,16.36,1100,0.0,REBALANCE,20241104,16.36
300355,BUY,20241104,7.35,2600,0.0,REBALANCE,20241104,7.35
300152,BUY,20241104,7.18,2600,0.0,REBALANCE,20241104,7.18
000958,BUY,20241104,9.6,2000,0.0,REBALANCE,20241104,9.6
000158,BUY,20241104,30.01,600,0.0,REBALANCE,20241104,30.01
002628,BUY,20241104,6.37,3000,0.0,REBALANCE,20241104,6.37
300010,BUY,20241104,12.03,1600,0.0,REBALANCE,20241104,12.03
002094,SELL,20241104,9.3,2400,34.00576368876081,TRAILING_STOP,20241028,6.94
002272,SELL,20241104,13.33,1400,0.0,TRAILING_STOP,20241104,13.33
002583,SELL,20241104,22.84,800,0.0,TRAILING_STOP,20241104,22.84
300355,SELL,20241104,7.2,2600,-2.040816326530605,TRAILING_STOP,20241104,7.35
300152,SELL,20241104,6.89,2600,-4.038997214484681,TRAILING_STOP,20241104,7.18
300010,SELL,20241104,10.8,1600,-10.224438902743131,STOP_LOSS,20241104,12.03
600839,SELL,20241105,14.43,1400,7.8475336322869875,TRAILING_STOP,20241104,13.38
600292,SELL,20241105,12.73,1500,1.031746031746038,TRAILING_STOP,20241104,12.6
603038,SELL,20241105,25.13,700,-5.026455026455033,TRAILING_STOP,20241104,26.46
002693,SELL,20241105,30.03,600,-0.8256274768824305,TRAILING_STOP,20241104,30.28
000158,SELL,20241105,35.55,600,18.460513162279224,TRAILING_STOP,20241104,30.01
300489,SELL,20241106,84.48,200,5.534041224234862,TRAILING_STOP,20241104,80.05
000958,SELL,20241106,8.31,2000,-13.437499999999991,STOP_LOSS,20241104,9.6
002628,SELL,20241106,6.04,3000,-5.180533751962325,TRAILING_STOP,20241104,6.37
603887,SELL,20241107,14.23,1100,-13.019559902200484,STOP_LOSS,20241104,16.36
300489,BUY,20241111,85.0,200,0.0,REBALANCE,20241111,85.0
301297,BUY,20241111,58.8,300,0.0,REBALANCE,20241111,58.8
600839,BUY,20241111,13.0,1400,0.0,REBALANCE,20241111,13.0
600292,BUY,20241111,15.33,1200,0.0,REBALANCE,20241111,15.33
601727,BUY,20241111,11.09,1600,0.0,REBALANCE,20241111,11.09
603038,BUY,20241111,21.7,800,0.0,REBALANCE,20241111,21.7
300968,BUY,20241111,22.8,800,0.0,REBALANCE,20241111,22.8
002583,BUY,20241111,20.68,900,0.0,REBALANCE,20241111,20.68
688660,BUY,20241111,10.3,1800,0.0,REBALANCE,20241111,10.3
300377,BUY,20241111,27.5,600,0.0,REBALANCE,20241111,27.5
603268,BUY,20241111,44.0,400,0.0,REBALANCE,20241111,44.0
002094,BUY,20241111,8.13,2300,0.0,REBALANCE,20241111,8.13
000536,BUY,20241111,7.25,2500,0.0,REBALANCE,20241111,7.25
002542,BUY,20241111,5.57,3300,0.0,REBALANCE,20241111,5.57
600340,BUY,20241111,3.62,5100,0.0,REBALANCE,20241111,3.62
601727,SELL,20241111,11.07,1600,-0.1803426510369664,TRAILING_STOP,20241111,11.09
688660,SELL,20241111,9.18,1800,-10.873786407766998,STOP_LOSS,20241111,10.3
300377,SELL,20241111,26.34,600,-4.218181818181819,TRAILING_STOP,20241111,27.5
603268,SELL,20241111,44.22,400,0.4999999999999974,TRAILING_STOP,20241111,44.0
300489,SELL,20241112,73.4,200,-13.647058823529404,STOP_LOSS,20241111,85.0
301297,SELL,20241112,56.1,300,-4.591836734693871,TRAILING_STOP,20241111,58.8
000536,SELL,20241112,6.53,2500,-9.931034482758617,STOP_LOSS,20241111,7.25
002542,SELL,20241112,5.01,3300,-10.053859964093366,STOP_LOSS,20241111,5.57
600340,SELL,20241112,3.26,5100,-9.944751381215477,STOP_LOSS,20241111,3.62
600292,SELL,20241113,14.92,1200,-2.674494455316374,TRAILING_STOP,20241111,15.33
002583,SELL,20241113,21.36,900,3.2882011605415844,TRAILING_STOP,20241111,20.68
300968,SELL,20241114,19.79,800,-13.20175438596492,STOP_LOSS,20241111,22.8
002094,SELL,20241114,7.44,2300,-8.487084870848713,STOP_LOSS,20241111,8.13
600839,SELL,20241115,13.23,1400,1.7692307692307725,TRAILING_STOP,20241111,13.0
603038,SELL,20241115,19.31,800,-11.01382488479263,STOP_LOSS,20241111,21.7
300380,BUY,20241202,59.01,200,0.0,REBALANCE,20241202,59.01
300220,BUY,20241202,19.8,800,0.0,REBALANCE,20241202,19.8
300822,BUY,20241202,30.61,500,0.0,REBALANCE,20241202,30.61
002095,BUY,20241202,27.87,600,0.0,REBALANCE,20241202,27.87
002131,BUY,20241202,4.04,4300,0.0,REBALANCE,20241202,4.04
600410,BUY,20241202,11.82,1400,0.0,REBALANCE,20241202,11.82
300607,BUY,20241202,30.0,500,0.0,REBALANCE,20241202,30.0
300377,BUY,20241202,34.84,500,0.0,REBALANCE,20241202,34.84
603366,BUY,20241202,19.6,800,0.0,REBALANCE,20241202,19.6
300173,BUY,20241202,8.1,2100,0.0,REBALANCE,20241202,8.1
300561,BUY,20241202,44.02,300,0.0,REBALANCE,20241202,44.02
002103,BUY,20241202,17.07,1000,0.0,REBALANCE,20241202,17.07
600889,BUY,20241202,19.99,800,0.0,REBALANCE,20241202,19.99
603955,BUY,20241202,23.25,700,0.0,REBALANCE,20241202,23.25
000833,BUY,20241202,16.03,1000,0.0,REBALANCE,20241202,16.03
300380,SELL,20241202,66.85,200,13.285883748517193,TRAILING_STOP,20241202,59.01
300822,SELL,20241202,30.0,500,-1.9928128062724582,TRAILING_STOP,20241202,30.61
002095,SELL,20241202,30.02,600,7.714388231072833,TRAILING_STOP,20241202,27.87
603366,SELL,20241202,19.68,800,0.40816326530611374,TRAILING_STOP,20241202,19.6
300173,SELL,20241202,8.18,2100,0.9876543209876552,TRAILING_STOP,20241202,8.1
300561,SELL,20241202,46.69,300,6.0654248069059395,TRAILING_STOP,20241202,44.02
600410,SELL,20241203,11.12,1400,-5.922165820642987,TRAILING_STOP,20241202,11.82
300607,SELL,20241203,32.6,500,8.666666666666671,TRAILING_STOP,20241202,30.0
300377,SELL,20241203,37.13,500,6.572904707233063,TRAILING_STOP,20241202,34.84
002103,SELL,20241203,15.36,1000,-10.017574692442889,STOP_LOSS,20241202,17.07
300220,SELL,20241204,17.32,800,-12.525252525252528,STOP_LOSS,20241202,19.8
600889,SELL,20241204,20.49,800,2.5012506253126565,TRAILING_STOP,20241202,19.99
000833,SELL,20241204,17.52,1000,9.295071740486577,TRAILING_STOP,20241202,16.03
603955,SELL,20241205,25.94,700,11.569892473118285,TRAILING_STOP,20241202,23.25
605179,BUY,20241209,25.46,700,0.0,REBALANCE,20241209,25.46
688165,BUY,20241209,29.5,600,0.0,REBALANCE,20241209,29.5
002175,BUY,20241209,5.33,3400,0.0,REBALANCE,20241209,5.33
300822,BUY,20241209,26.01,700,0.0,REBALANCE,20241209,26.01
002031,BUY,20241209,6.6,2700,0.0,REBALANCE,20241209,6.6
300840,BUY,20241209,25.0,700,0.0,REBALANCE,20241209,25.0
300607,BUY,20241209,32.9,500,0.0,REBALANCE,20241209,32.9
002640,BUY,20241209,6.14,2900,0.0,REBALANCE,20241209,6.14
603366,BUY,20241209,17.46,1000,0.0,REBALANCE,20241209,17.46
301171,BUY,20241209,38.05,400,0.0,REBALANCE,20241209,38.05
002526,BUY,20241209,5.23,3500,0.0,REBALANCE,20241209,5.23
002347,BUY,20241209,11.01,1600,0.0,REBALANCE,20241209,11.01
600889,BUY,20241209,19.75,900,0.0,REBALANCE,20241209,19.75
000833,BUY,20241209,15.57,1100,0.0,REBALANCE,20241209,15.57
002131,SELL,20241209,5.12,4300,26.732673267326735,TRAILING_STOP,20241202,4.04
688165,SELL,20241209,33.67,600,14.135593220338988,TRAILING_STOP,20241209,29.5
002031,SELL,20241209,6.57,2700,-0.45454545454544487,TRAILING_STOP,20241209,6.6
300840,SELL,20241209,26.17,700,4.680000000000007,TRAILING_STOP,20241209,25.0
300607,SELL,20241209,35.29,500,7.264437689969607,TRAILING_STOP,20241209,32.9
002640,SELL,20241209,6.14,2900,0.0,TRAILING_STOP,20241209,6.14
600889,SELL,20241209,19.73,900,-0.10126582278480796,TRAILING_STOP,20241209,19.75
300822,SELL,20241210,26.88,700,3.344867358708179,TRAILING_STOP,20241209,26.01
603366,SELL,20241210,16.5,1000,-5.498281786941585,TRAILING_STOP,20241209,17.46
301171,SELL,20241210,38.29,400,0.6307490144546701,TRAILING_STOP,20241209,38.05
002526,SELL,20241211,5.08,3500,-2.868068833652014,TRAILING_STOP,20241209,5.23
002347,SELL,20241211,11.25,1600,2.1798365122615824,TRAILING_STOP,20241209,11.01
000833,SELL,20241211,14.02,1100,-9.955041746949265,STOP_LOSS,20241209,15.57
605179,SELL,20241212,30.49,700,19.756480754124105,TRAILING_STOP,20241209,25.46
688165,BUY,20241216,34.0,500,0.0,REBALANCE,20241216,34.0
002354,BUY,20241216,8.8,2100,0.0,REBALANCE,20241216,8.8
002076,BUY,20241216,4.15,4600,0.0,REBALANCE,20241216,4.15
002403,BUY,20241216,22.94,800,0.0,REBALANCE,20241216,22.94
002265,BUY,20241216,29.0,600,0.0,REBALANCE,20241216,29.0
002031,BUY,20241216,7.13,2600,0.0,REBALANCE,20241216,7.13
600593,BUY,20241216,52.24,300,0.0,REBALANCE,20241216,52.24
300822,BUY,20241216,25.89,700,0.0,REBALANCE,20241216,25.89
603662,BUY,20241216,76.0,200,0.0,REBALANCE,20241216,76.0
300276,BUY,20241216,11.25,1600,0.0,REBALANCE,20241216,11.25
002593,BUY,20241216,7.35,2500,0.0,REBALANCE,20241216,7.35
300561,BUY,20241216,58.95,300,0.0,REBALANCE,20241216,58.95
002103,BUY,20241216,16.67,1100,0.0,REBALANCE,20241216,16.67
600889,BUY,20241216,20.13,900,0.0,REBALANCE,20241216,20.13
002175,SELL,20241216,7.22,3400,35.45966228893057,TRAILING_STOP,20241209,5.33
